test_id,title,description,acceptance_criteria,technical_area,dependencies,uncertainty,project_phase,tooling_context
NEW-011,OBS: Held-out estimation case 11,"Implement a bounded change touching a few components with modest testing in the observability area. Include metrics, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Observability,Some cross-component coordination,Moderate,Late,Routine AI coding assistants
NEW-012,INF: Held-out estimation case 12,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the infrastructure area. Include networking, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Infrastructure,Multiple dependencies and coordination,High,Late,Routine AI coding assistants
NEW-013,TEST: Held-out estimation case 13,"Implement an exceptional epic-sized change with broad architectural impact, many dependencies, and major uncertainty in the testing area. Include integration tests, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Testing,Multiple dependencies and coordination,Very High,Late,Routine AI coding assistants
NEW-014,API: Held-out estimation case 14,"Implement a small localized change with straightforward validation in the backend/api area. Include service, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Backend/API,Minimal,Low,Late,Routine AI coding assistants
NEW-015,UI: Held-out estimation case 15,"Implement a medium change spanning multiple components, with meaningful integration and testing in the frontend area. Include screen, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Frontend,Some cross-component coordination,Moderate,Early,None
NEW-016,DATA: Held-out estimation case 16,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the data area. Include migration, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Data,Multiple dependencies and coordination,High,Early,None
NEW-017,INT: Held-out estimation case 17,"Implement a tiny, isolated change with known behavior and negligible uncertainty in the integration area. Include webhook, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Integration,Minimal,Low,Early,None
NEW-018,SEC: Held-out estimation case 18,"Implement a bounded change touching a few components with modest testing in the security area. Include policy, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Security,Some cross-component coordination,Moderate,Early,None
NEW-019,OBS: Held-out estimation case 19,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the observability area. Include metrics, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Observability,Multiple dependencies and coordination,High,Early,None
NEW-020,INF: Held-out estimation case 20,"Implement an exceptional epic-sized change with broad architectural impact, many dependencies, and major uncertainty in the infrastructure area. Include networking, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Infrastructure,Multiple dependencies and coordination,Very High,Early,None
NEW-021,TEST: Held-out estimation case 21,"Implement a small localized change with straightforward validation in the testing area. Include integration tests, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Testing,Minimal,Low,Early,None
NEW-022,API: Held-out estimation case 22,"Implement a medium change spanning multiple components, with meaningful integration and testing in the backend/api area. Include service, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Backend/API,Some cross-component coordination,Moderate,Early,None
NEW-023,UI: Held-out estimation case 23,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the frontend area. Include screen, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Frontend,Multiple dependencies and coordination,High,Early,None
NEW-024,DATA: Held-out estimation case 24,"Implement a tiny, isolated change with known behavior and negligible uncertainty in the data area. Include migration, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Data,Minimal,Low,Early,None
NEW-025,INT: Held-out estimation case 25,"Implement a bounded change touching a few components with modest testing in the integration area. Include webhook, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Integration,Some cross-component coordination,Moderate,Early,None
NEW-026,SEC: Held-out estimation case 26,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the security area. Include policy, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Security,Multiple dependencies and coordination,High,Early,None
NEW-027,OBS: Held-out estimation case 27,"Implement an exceptional epic-sized change with broad architectural impact, many dependencies, and major uncertainty in the observability area. Include metrics, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Observability,Multiple dependencies and coordination,Very High,Early,None
NEW-028,INF: Held-out estimation case 28,"Implement a small localized change with straightforward validation in the infrastructure area. Include networking, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Infrastructure,Minimal,Low,Early,None
DRIFT-01A,API: calibration drift pair,"Implement a bounded change touching a few components with modest testing in the api area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,API,Equivalent within pair,Equivalent within pair,Early,None
DRIFT-01B,API: calibration drift pair,"Implement a bounded change touching a few components with modest testing in the api area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,API,Equivalent within pair,Equivalent within pair,Late,Routine AI coding assistants
DRIFT-02A,Integration: calibration drift pair,"Implement a medium change spanning multiple components, with meaningful integration and testing in the integration area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Integration,Equivalent within pair,Equivalent within pair,Early,None
DRIFT-02B,Integration: calibration drift pair,"Implement a medium change spanning multiple components, with meaningful integration and testing in the integration area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Integration,Equivalent within pair,Equivalent within pair,Late,Routine AI coding assistants
DRIFT-03A,Data: calibration drift pair,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the data area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Data,Equivalent within pair,Equivalent within pair,Early,None
DRIFT-03B,Data: calibration drift pair,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the data area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Data,Equivalent within pair,Equivalent within pair,Late,Routine AI coding assistants
DRIFT-04A,Infrastructure: calibration drift pair,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the infrastructure area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Infrastructure,Equivalent within pair,Equivalent within pair,Early,None
DRIFT-04B,Infrastructure: calibration drift pair,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the infrastructure area with the same scope, dependencies, uncertainty, and acceptance criteria.",Identical functional scope and validation burden across the paired cases.,Infrastructure,Equivalent within pair,Equivalent within pair,Late,Routine AI coding assistants
